sigle,titre
"SL106R,""Stage en laboratoire"""
"SL109,""Stage en laboratoire"""
"SL109N,""Stage en laboratoire"""
"SL112,""Stage en laboratoire"""
"SL115,""Stage en laboratoire"""
"SL201,""Stage en laboratoire"""
"SL201N,""Stage en laboratoire"""
"SL202,""Stage en laboratoire"""
"SL202N,""Stage en laboratoire"""
"SL203,""Stage en laboratoire I"""
"SL203N,""Stage en laboratoire"""
"SL206,""Stage en laboratoire II"""
"SL206N,""Stage en laboratoire II"""
"SL206R,""Stage en laboratoire"""
"SL209,""Stage en laboratoire"""
"SL212,""Stage en laboratoire"""
"SL215,""Stage en laboratoire"""
"SL301,""Stage en laboratoire"""
"SL301N,""Stage en laboratoire"""
"SL302,""Stage en laboratoire"""
"SL302N,""Stage en laboratoire"""
"SL303,""Stage en laboratoire I"""
"SL303N,""Stage en laboratoire I"""
"SL306,""Stage en laboratoire II"""
"SL306N,""Stage en laboratoire II"""
"SL306R,""Stage en laboratoire"""
"SL309,""Stage en laboratoire"""
"SL309N,""Stage en laboratoire"""
"SL312,""Stage en laboratoire"""
"SL315,""Stage en laboratoire"""
"SL401,""Stage en laboratoire"""
"SL401N,""Stage en laboratoire"""
"SL402,""Stage en laboratoire"""
"SL402N,""Stage en laboratoire"""
"SL403,""Stage en laboratoire I"""
"SL403N,""Stage en laboratoire"""
"SL406,""Stage en laboratoire I"""
"SL406N,""Stage en laboratoire II"""
"SL406R,""Stage en laboratoire"""
"SL409,""Stage en laboratoire"""
"SL409N,""Stage en laboratoire"""
"SL412,""Stage en laboratoire"""
"SL412N,""Stage en laboratoire"""
"SL415,""Stage en laboratoire"""
"SL501,""Stage en laboratoire"""
"SL501N,""Stage en laboratoire"""
"SL502,""Stage en laboratoire"""
"SL502N,""Stage en laboratoire"""
"SL503,""Stage en laboratoire I"""
"SL506,""Stage en laboratoire II"""
"SL509,""Stage en laboratoire"""
"SL512,""Stage en laboratoire"""
"SL515,""Stage en laboratoire"""
"SL601,""Stage en laboratoire"""
"SL601N,""Stage en laboratoire"""
"SL602,""Stage en laboratoire"""
"SL602N,""Stage en laboratoire"""
"SL603,""Stage en laboratoire"""
"SL606,""Stage en laboratoire"""
"SL606R,""Stage en laboratoire"""
"SL609,""Stage en laboratoire"""
"SL701,""Stage en laboratoire"""
"SL701N,""Stage en laboratoire"""
"SL702,""Stage en laboratoire"""
"SL702N,""Stage en laboratoire"""
"SL703,""Stage en laboratoire"""
"SL706,""Stage en laboratoire II"""
"SL709,""Stage en laboratoire"""
"SL801,""Stage en laboratoire"""
"SL801N,""Stage en laboratoire"""
"SL802,""Stage en laboratoire"""
"SL802N,""Stage en laboratoire"""
"SL803,""Stage en laboratoire I"""
"SL806,""Stage en laboratoire II"""
"SL806N,""Stage en laboratoire II"""
"SL806R,""Stage en laboratoire"""
"SL809,""Stage en laboratoire"""
"SL812,""Stage en laboratoire"""
"SL815,""Stage en laboratoire"""
"SL901,""Stage en laboratoire"""
"SL902,""Stage en laboratoire"""
"SL903,""Stage en laboratoire I"""
"SL906,""Stage en laboratoire II"""
"SL906N,""Stage en laboratoire"""
"SL909,""Stage en laboratoire"""
"SL912,""Stage en laboratoire"""
"SL915,""Stage en laboratoire"""
"SLI01,""Stage en laboratoire"""
"SLI01N,""Stage en laboratoire"""
"SLI02,""Stage en laboratoire"""
"SLI02N,""Stage en laboratoire"""
"SLI03,""Stage en laboratoire I"""
"SLI03N,""Stage en laboratoire"""
"SLI06,""Stage en laboratoire II"""
"SLI06N,""Stage en laboratoire II"""
"SLI06R,""Stage en laboratoire"""
"SLI09,""Stage en laboratoire"""
"SLI12,""Stage en laboratoire"""
"SLI15,""Stage en laboratoire"""
"SSH0101,""Rel. interculturelles et vie universitaire"""
"SSH0320,""Histoire des sciences et techniques modernes"""
"SSH0330,""Rédaction et communication orale"""
"SSH0345,""Pratique du français écrit"""
"SSH3100A,""Sociologie de la technologie"""
"SSH3100B,""Sociologie de la technologie"""
"SSH3100C,""Sociologie de la technologie"""
"SSH3201,""Économique de l'ingénieur"""
"SSH3351,""Anglais pour ingénieurs 1"""
"SSH3352,""Anglais pour ingénieurs 2"""
"SSH3402,""Droit de l'environnement"""
"SSH3501,""Éthique appliquée à l'ingénierie"""
"SSH3502,""Droit et éthique"""
"SSH3503,""Éthique appliquée au génie biomédical"""
"SST6000,""Atelier de formation en santé-sécurité (3h)"""
"STGC-AER,""stage aéronautique"""
"STGC-AUI,""stage automatisation industrielle"""
"STGC-CTE,""stage cyberenquête"""
"STGC-CYE,""stage cyberenquête"""
"STGC-CYF,""stage cyberfraude"""
"STGC-CYS,""stage cybersécurité"""
"STGC-DEF,""stage design et fabrication"""
"STGC-ELB,""stage électricité du bâtiment"""
"STGC-MEB,""stage mécanique du bâtiment"""
"STGE1-ING,""Stage équivalent en ingénierie"""
"STGF1-AER,""Stage I en génie aérospatial"""
"STGF1-CIV,""Stage I en génie civil"""
"STGF1-ELE,""Stage I en génie électrique"""
"STGF1-GBM,""Stage I en génie biomédical"""
"STGF1-GCH,""Stage I en génie chimique"""
"STGF1-IND,""Stage I en génie industriel"""
"STGF1-INF,""Stage I en génie informatique"""
"STGF1-LOG,""Stage I en génie logiciel"""
"STGF1-MEC,""Stage I en génie mécanique"""
"STGF1-PHS,""Stage I en génie physique"""
"STGF2-AER,""Stage II en génie aérospatial"""
"STGF2-CIV,""Stage II en génie civil"""
"STGF2-ELE,""Stage II en génie électrique"""
"STGF2-GBM,""Stage II en génie biomédical"""
"STGF2-GCH,""Stage II en génie chimique"""
"STGF2-GLQ,""Stage II en génie géologique"""
"STGF2-IND,""Stage II en génie industriel"""
"STGF2-INF,""Stage II en génie informatique"""
"STGF2-LOG,""Stage II en génie logiciel"""
"STGF2-MEC,""Stage II en génie mécanique"""
"STGF2-PHS,""Stage II en génie physique"""
"STGF3-AER,""Stage III en génie aérospatial"""
"STGF3-CIV,""Stage III en génie civil"""
"STGF3-ELE,""Stage III en génie électrique"""
"STGF3-GBM,""Stage III en génie biomédical"""
"STGF3-GCH,""Stage III en génie chimique"""
"STGF3-IND,""Stage III en génie industriel"""
"STGF3-INF,""Stage III en génie informatique"""
"STGF3-LOG,""Stage III en génie logiciel"""
"STGF3-MEC,""Stage III en génie mécanique"""
"STGF3-PHS,""Stage III en génie physique"""
"STGF4-AER,""stage IV en génie aérospatial"""
"STGF4-CIV,""Stage IV- génie civil"""
"STGF4-ELE,""Stage IV en génie électrique"""
"STGF4-GBM,""Stage IV en génie biomédical"""
"STGF4-GCH,""Stage IV en génie chimique"""
"STGF4-GLQ,""Stage IV en génie géologique"""
"STGF4-IND,""Stage IV en génie industriel"""
"STGF4-INF,""Stage IV en génie informatique"""
"STGF4-LOG,""Stage IV- génie du Logiciel"""
"STGF4-MEC,""stage IV- Facultatif"""
"STGF4-MIN,""stage facultatif-génie des mines"""
"STGF4-PHS,""Stage IV en génie physique"""
"STGO1-AER,""Stage I en génie aérospatial"""
"STGO1-CIV,""Stage I en génie civil"""
"STGO1-ELE,""Stage I en génie électrique"""
"STGO1-GBM,""Stage I en génie biomédical"""
"STGO1-GCH,""Stage I en génie chimique"""
"STGO1-GLQ,""Stage I en génie géologique"""
"STGO1-IND,""Stage I en génie industriel"""
"STGO1-INF,""Stage I en génie informatique"""
"STGO1-LOG,""Stage I en génie logiciel"""
"STGO1-MEC,""Stage I en génie mécanique"""
"STGO1-MIN,""Stage I en génie des mines"""
"STGO1-PHS,""Stage I en génie physique"""
"STGO2-AER,""Stage II en génie aérospatial"""
"STGO2-CIV,""Stage II en génie civil"""
"STGO2-ELE,""Stage II en génie électrique"""
"STGO2-GBM,""Stage II en génie biomédical"""
"STGO2-GCH,""Stage II en génie chimique"""
"STGO2-GLQ,""Stage II en génie géologique"""
"STGO2-IND,""Stage II en génie industriel"""
"STGO2-INF,""Stage II en génie informatique"""
"STGO2-LOG,""Stage II en génie logiciel"""
"STGO2-MEC,""Stage II en génie mécanique"""
"STGO2-MIN,""Stage II en génie des mines"""
"STGO2-PHS,""Stage II en génie physique"""
"STGO3-CIV,""Stage III en génie civil"""
"STGO3-ELE,""Stage III en génie électrique"""
"STGO3-GLQ,""Stage III en génie géologique"""
"STGO3-IND,""Stage III en génie industriel"""
"STGO3-MEC,""Stage III en génie mécanique"""
"STGO3-MIN,""Stage III en génie des mines"""
"STI-AEP,""Stage participation-vie étudiante"""
"STI-AEP-II,""Stage d'implication vie-étudiante"""
"TB110,""Introduction aux technologies biomédicales"""
"TB120,""Syst. surveillance, soins, support à la vie"""
"TB125,""Travaux pratiques: soins"""
"TB130,""Systèmes de laboratoire en milieu clinique"""
"TB135,""Travaux pratiques: laboratoire, imagerie"""
"TB140,""Systèmes d'imagerie médicale"""
"TB150,""Technol. de l'inform. dans le réseau santé"""
"TB170,""Activité d'intégration en milieu hospitalier"""
"TI010,""Étude approfondie:Code national du bâtiment"""
"TI020,""Hydraulique appliquée"""
"TI030,""Lecture avancée de plans"""
"TI310,""Extincteurs automatiques à eau"""
"TI320,""Projet en prévention"""
"TI330,""Sécurité incendies-bâtiments grande hauteur"""
"TI340,""Matières dangereuses"""
"TI360,""Installations fixes d'extinction"""
"TI370,""Prévention pour les événements spéciaux"""
"TI420,""Sécurité incendie et mesures d'urgence"""
"TI450,""Inspection des risques industriels"""
"TI460,""Communication organisationnelle et publique"""
"TS3100,""Introduction aux systèmes spatiaux"""
"TS4600,""Équipements spatiaux de communication"""
"TS8500,""Introduction aux antennes de satellites"""
"Z-031,""Manipulations algébriques et trigonométrie"""
"Z-032,""Calcul vectoriel et nombres complexes"""
"Z-033,""Calcul différentiel et intégral"""
"Z-040,""Introduction à la mécanique appliquée"""
"Z-415,""Internet et développement de sites web"""
"Z-425,""Intro à l'infor. et programm. procédurale"""
"Z-520,""Méthodes et techniques de gestion de projets"""
"Z-650,""Lecture technique en anglais"""
"Z-831,""Acoustique industrielle"""
"Z-851,""Introduction à la norme ISO 9001"""
"Z-911,""Rentabilité des projets"""
"Z-915,""Comm. écrite et orale en contexte technique"""
"Z-920,""Trav. en équipe et leadership en ingénierie"""
